Id,Chapter,Obtainable,Cost,Name,Score,Rarity,On Play,DiceNumber,D1 Type,D1 Roll,D1 Effect,D2 Type,D2 Roll,D2 Effect,D3 Type,D3 Roll,D3 Effect,D4 Type,D4 Roll,D4 Effect
100001,1,TRUE,0,Parry,3.5,Paperback,,2,Evasion,1-4,,Slash,1-2,,,,,,,
100002,1,TRUE,1,Thrust,4.25,Paperback,,2,Penetrate,1-4,,Penetrate,1-4,,,,,,,
100003,1,TRUE,2,Wallop,6.25,Paperback,,2,Hit,2-6,,Hit,2-4,,,,,,,
100004,1,TRUE,2,Preemptive Strike,7.375,Paperback,,2,Slash,3-5,,Evasion,1-8,,,,,,,
100005,1,TRUE,1,Quickness,5,Paperback,quickness1,2,Hit,1-4,,Evasion,1-6,,,,,,,
101001,1,TRUE,3,Gut-harvesting,10,Limited,,3,Slash,3-5,bleeding1atk,Slash,3-6,bleeding1atk,Guard,1-4,,,,
101002,1,TRUE,2,Rats’ Guide to Survival,8.75,Limited,,3,Guard,1-4,,Slash,3-4,bleeding1atk,Evasion,1-7,,,,
101003,1,TRUE,2,Dirty Blow,5.875,Limited,,2,Hit,3-6,bleeding2pw,Guard,1-3,,,,,,,
101004,1,TRUE,1,Bite Off,3.5,Hardcover,,2,Slash,1-4,bleeding1atk,Hit,1-2,,,,,,,
101005,1,TRUE,1,Backstreets Dash,3.625,Hardcover,,1,Penetrate,1-8,bleeding1atk,,,,,,,,,
101006,1,TRUE,1,Skitter Away,7.875,Hardcover,,3,Evasion,1-6,,Evasion,1-6,,Hit,1-4,,,,
102001,1,TRUE,3,Commandeering,11.875,Limited,,3,Hit,4-7,downgradeNext1pw,Guard,3-4,,Penetrate,3-4,,,,
102002,1,TRUE,2,You’re Too Slow,6.75,Hardcover,,2,Evasion,1-9,powerUpNext2pw,Slash,2-4,vulnerable2atk,,,,,,
102003,1,TRUE,2,Struggle,9.75,Limited,protection2,3,Guard,2-5,,Guard,2-5,,Hit,2-6,,,,
102004,1,TRUE,2,Time for a Little Test,7.875,Limited,,3,Guard,2-5,downgradeNext1pw,Slash,2-3,,Slash,2-3,,,,
102005,1,TRUE,1,Feelin’ Good,5.875,Hardcover,,2,Slash,1-5,vulnerable1atk,Guard,3-4,,,,,,,
102006,1,TRUE,1,Preparation,5.75,Hardcover,,2,Penetrate,2-3,,Guard,3-4,energy1dfn,,,,,,
103001,1,TRUE,2,B-blow It Up!,5.625,Limited,,2,Penetrate,1-6,paralysis1atk,Hit,2-4,,,,,,,
103002,1,TRUE,3,Y-you Only Live Once!,5.125,Limited,,1,Hit,1-12,paralysis2atk,,,,,,,,,
103003,1,TRUE,0,C-charge Up!,2.375,Limited,energy1paralysis1,1,Hit,2-3,,,,,,,,,,
103004,1,TRUE,1,E-endure,8.25,Hardcover,,3,Guard,2-5,,Guard,3-4,paralysis1pw,Hit,1-3,paralysis1atk,,,
103005,1,TRUE,2,D-dried Up,6.125,Hardcover,strength2,2,Slash,2-4,,Evasion,3-4,,,,,,,
103006,1,TRUE,2,C-chop It Off!,6.375,Hardcover,,3,Penetrate,2-3,,Slash,1-1,,Slash,3-3,,,,
104001,1,TRUE,2,Overpower,7.75,Limited,,2,Penetrate,5-6,bleeding2atk,Slash,2-3,,,,,,,
104002,1,TRUE,2,Goin’ First,8.75,Limited,,3,Evasion,1-7,,Penetrate,2-2,bleeding1atk,Penetrate,2-6,bleeding1atk,,,
104003,1,TRUE,2,Fend This Off If You Can,7,Limited,,2,Hit,4-4,downgradeNext1pw,Penetrate,3-3,bleeding2atk,,,,,,
104004,1,TRUE,3,Rampage,8.25,Hardcover,,3,Hit,1-3,bleeding1atk,Penetrate,2-4,bleeding1atk,Slash,3-5,,,,
104005,1,TRUE,0,Track,2.125,Hardcover,recoverHp1,1,Slash,1-4,,,,,,,,,,
104006,1,TRUE,2,Mutilate,6,Hardcover,,2,Slash,1-5,recoverHp1atk,Slash,2-6,recoverHp1atk,,,,,,
200001,2,TRUE,0,Pound,2.5,Paperback,,1,Hit,1-5,,,,,,,,,,
200002,2,TRUE,1,Multi-block,7.625,Paperback,,3,Hit,1-4,,Guard,1-4,,Guard,3-4,,,,
200003,2,TRUE,2,Multi-hit,5.625,Paperback,,3,Penetrate,1-6,upgradeNext1pw,Hit,1-2,upgradeNext1pw,Hit,1-2,,,,
200004,2,TRUE,1,Quick Attack,4.75,Paperback,quickness2,2,Penetrate,2-3,,Hit,2-3,,,,,,,
200005,2,TRUE,3,Strong Strike,8.75,Paperback,,2,Hit,5-6,,Hit,3-4,,,,,,,
201001,2,TRUE,1,Keep It Fresh,8.5,Limited,,2,Slash,3-4,,Evasion,1-12,,,,,,,
201002,2,TRUE,1,Trim the Ingredients,5,Hardcover,,2,Hit,1-6,paralysis1atk,Evasion,1-4,,,,,,,
201003,2,TRUE,2,I Can Cook Anything,6.875,Limited,,2,Penetrate,1-6,,Slash,4-4,recoverHp4atk,,,,,,
201004,2,TRUE,1,Cooking Prep,7.75,Hardcover,,2,Guard,4-4,,Penetrate,3-5,bleeding2atk_pierre,,,,,,
201005,2,TRUE,2,Ingredient Hunt,5.5,Hardcover,,2,Slash,2-5,binding2atk,Hit,2-3,,,,,,,
201006,2,TRUE,1,Cruelty,5.875,Hardcover,,2,Hit,2-6,pierre,Guard,2-3,,,,,,,
201007,2,TRUE,0,Thirst,3.375,Hardcover,,1,Penetrate,3-4,bleeding1atk_pierre,,,,,,,,,
202001,2,TRUE,1,Deflect,7.625,Limited,,3,Guard,3-4,,Hit,1-4,paralysis1atk,Slash,1-4,,,,
202002,2,TRUE,1,Prepared Mind,6.25,Hardcover,,2,Guard,2-4,endurance1pw,Slash,2-6,,,,,,,
202003,2,TRUE,2,Set Fire,7.5,Limited,,2,Hit,3-5,ruru1,Hit,3-5,ruru1,,,,,,
202004,2,TRUE,1,Taste My Flaming Bat!,10,Hardcover,,3,Guard,3-4,,Evasion,1-8,upgradeNext1pw,Hit,3-3,burn2atk,,,
202005,2,FALSE,2,Gather Intel,8.375,Limited,,3,Slash,1-6,upgradeNext1pw,Slash,2-2,upgradeNext1pw,Guard,2-6,,,,
202006,2,FALSE,1,Silent Night,7.125,Hardcover,endurance2,3,Evasion,1-8,,Slash,1-3,,Penetrate,1-3,,,,
202007,2,TRUE,3,Nonstop Assault,9.375,Hardcover,,3,Hit,1-6,,Slash,2-5,,Slash,3-4,,,,
202008,2,TRUE,1,Fleet Footsteps,7,Hardcover,,3,Slash,2-2,,Evasion,1-6,recoverHp2dfn,Evasion,1-4,recoverHp2dfn,,,
202009,2,TRUE,0,Gather Intel,3.125,Hardcover,,1,Slash,2-5,burn1atk,,,,,,,,,
202010,2,FALSE,2,Set Ablaze,11.5,Limited,,3,Hit,3-5,ruru2,Hit,3-5,ruru2,Guard,4-4,,,,
202011,2,FALSE,1,Eat My Flaming Bat!,12.625,Hardcover,,3,Guard,3-5,,Evasion,4-8,upgradeNext1pw,Hit,3-4,burn2atk,,,
202012,2,TRUE,1,Prepared Mind,7.25,Hardcover,,2,Guard,1-6,endurance1pw,Hit,4-5,,,,,,,
300001,3,FALSE,0,Diversion,3.875,Paperback,,2,Slash,1-3,,Hit,1-4,,,,,,,
300002,3,FALSE,1,Sharp Swipe,7.25,Paperback,,2,Penetrate,2-6,,Guard,3-5,,,,,,,
300003,3,FALSE,1,Back Attack,8.125,Paperback,,3,Evasion,1-8,,Hit,2-3,,Slash,1-4,,,,
300004,3,FALSE,1,Standoff,5.25,Paperback,,2,Slash,1-6,recoverHp2atk,Hit,2-3,,,,,,,
300005,3,FALSE,2,Outburst,7.125,Paperback,discardAndEnergy,2,Hit,3-5,,Penetrate,3-4,,,,,,,
301001,3,TRUE,2,Handling Work,10,Limited,,3,Slash,2-6,upgradeNext1pw,Slash,3-3,upgradeNext1pw,Guard,2-6,,,,
301002,3,TRUE,1,Silent Night,7.125,Hardcover,endurance2,3,Evasion,1-6,,Slash,1-4,,Penetrate,1-4,,,,
301003,3,TRUE,1,Fence,9.125,Limited,protection1friend,3,Evasion,1-6,,Slash,1-6,,Guard,3-4,,,,
301004,3,TRUE,2,Your Shield,9,Hardcover,,3,Guard,2-4,damage2pw,Slash,2-5,,Slash,2-5,,,,
301005,3,TRUE,2,Combat Preparation,9.75,Limited,endurance2friend,3,Slash,3-4,,Guard,2-4,,Evasion,1-8,,,,
301006,3,TRUE,2,Blade Whirl,7.25,Hardcover,,2,Penetrate,3-6,paralysis1atk,Slash,2-5,bleeding1atk,,,,,,
301007,3,TRUE,1,Guardian,5.375,Limited,endurance1friend,2,Hit,1-5,,Slash,1-6,,,,,,,
301008,3,TRUE,2,Suppress,8.5,Hardcover,,2,Hit,5-7,,Penetrate,2-4,,,,,,,
301009,3,TRUE,1,Riposte,6.5,Hardcover,,2,Guard,2-4,,Slash,3-5,binding2atk,,,,,,
301010,3,TRUE,3,Retaliate,12.125,Hardcover,,3,Evasion,1-10,upgradeNext1pw,Penetrate,4-5,,Penetrate,3-4,,,,
301011,3,TRUE,0,Law and Order,3.5,Hardcover,,1,Slash,2-6,damage2pw,,,,,,,,,
302001,3,TRUE,1,Fierce Onslaught,7.625,Limited,discard_lowest,2,Penetrate,2-3,,Slash,2-3,,Penetrate,1-6,,,,
302002,3,TRUE,0,Wait Up!,2.375,Limited,energy1,1,Penetrate,2-3,,,,,,,,,,
302003,3,TRUE,1,Gamble,8.25,Limited,discard_lowest,2,Slash,3-6,,Hit,3-6,,,,,,,
302004,3,TRUE,3,Daring Decision,14.75,Hardcover,discardall,3,Slash,4-8,,Penetrate,4-8,,Hit,3-5,,,,
302005,3,TRUE,1,Stay Calm,7.5,Hardcover,drawDiscard,3,Slash,2-4,,Penetrate,2-3,,Hit,2-3,,,,
302006,3,TRUE,1,The Art of Rapid Steps,7.875,Hardcover,,2,Evasion,1-8,,Slash,2-8,,,,,,,
302007,3,TRUE,1,Slice,5.625,Hardcover,,3,Slash,1-3,,Slash,1-4,,Penetrate,1-3,,,,
303001,3,FALSE,3,Scratch That!,19.5,Objet d'art,power_2,3,Hit,5-9,,Slash,5-9,,Hit,5-9,,,,
303002,3,TRUE,3,Brawl,16.25,Hardcover,gyeongmi,4,Hit,3-6,energy1atk,Slash,2-8,,Slash,3-5,,Slash,3-6,
303003,3,TRUE,2,I’ll End You,8.5,Limited,,2,Hit,4-6,paralysis1atk,Slash,3-5,paralysis1atk,,,,,,
303004,3,TRUE,1,Startin’ Out Lightly,6.25,Hardcover,,2,Hit,2-4,,Slash,2-6,,,,,,,
303005,3,TRUE,2,Shocking Blow,7,Limited,,1,Hit,4-12,,,,,,,,,,
303006,3,TRUE,2,Destructive Impact,6.25,Hardcover,,1,Slash,1-15,,,,,,,,,,
303007,3,TRUE,2,Cut In,10.375,Hardcover,,3,Hit,3-6,,Evasion,1-6,,Penetrate,3-4,,,,
303008,3,TRUE,2,Crush,7.5,Hardcover,,2,Hit,3-6,bleeding2atk,Hit,3-4,,,,,,,
303009,3,TRUE,0,Loosen Up,3.5,Hardcover,,1,Hit,2-6,energy1atk,,,,,,,,,
401001,4,FALSE,4,Tailoring,15,Limited,,2,Penetrate,6-10,bleeding3atk,Penetrate,6-10,bleeding3atk,,,,,,
401002,4,TRUE,2,Feast,12.375,Hardcover,,3,Guard,5-7,,Slash,3-4,recoverHp2atk,Penetrate,1-7,recoverHp2atk,,,
401003,4,FALSE,2,Will Produce Fine Silk,7.875,Limited,,3,Guard,4-6,,Hit,1-3,carnival,Hit,1-2,powerPerHand,,,
401004,4,TRUE,1,Will Be Tasty?,8.125,Hardcover,,3,Slash,1-5,recoverHp1atk,Evasion,1-6,,Slash,2-4,recoverHp1atk,,,
401005,4,TRUE,1,As the Prescript Orders,5.625,Paperback,,2,Guard,2-6,energy1pw,Penetrate,1-4,,,,,,,
401006,4,TRUE,1,Bizarre Attack,5.25,Paperback,,2,Evasion,2-5,,Slash,1-4,break5atk,,,,,,
401007,4,FALSE,3,Fascinating Fabric,14.75,Limited,limit3,2,Guard,8-8,,Evasion,6-8,,,,,,,
402001,4,FALSE,3,Going for Bullseye,11.25,Limited,exhaust,1,Penetrate,6-20,vulnerable2atk,,,,,,,,,
402002,4,TRUE,1,Return Fire,7.375,Hardcover,exhaust,2,Penetrate,1-8,weak1atk,Guard,3-5,,,,,,,
402003,4,FALSE,2,Indiscriminate Shots,10.875,Limited,exhaust,3,Penetrate,1-8,powerUpNext2pl,Penetrate,1-8,powerUpNext2pl,Hit,1-8,,,,
402004,4,TRUE,1,I Hate CQC,11.875,Hardcover,exhaust,3,Penetrate,2-6,weak1atk,Penetrate,2-6,,Evasion,3-8,,,,
402005,4,TRUE,2,Not Another Step,15.125,Hardcover,exhaust,3,Penetrate,4-7,,Penetrate,4-7,weak1atk,Guard,3-8,,,,
402006,4,TRUE,1,Take the Shot,9.5,Paperback,exhaust,3,Hit,2-6,,Hit,2-6,,Penetrate,1-5,,,,
402007,4,TRUE,2,Headshot,7.625,Paperback,exhaust,1,Penetrate,5-12,bleeding3atk,,,,,,,,,
402008,4,TRUE,1,Target Spotted,7,Paperback,exhaust,2,Penetrate,2-6,,Penetrate,2-6,weak1atk,,,,,,
402009,4,TRUE,2,Full-Stop to Life,9,Hardcover,,2,Slash,3-7,,Slash,3-7,weak1atk,,,,,,
402010,4,TRUE,2,Beyond the Shadow,10.75,Limited,,3,Evasion,3-7,,Slash,2-5,bleeding1atk,Slash,2-5,bleeding2atk,,,
403001,4,TRUE,3,Crack of Dawn,13.75,Objet d'art,otherAlly2protection2,2,Guard,2-7,,Slash,5-18,burn3atk,,,,,,
403002,4,TRUE,1,Flash of Sunup,7.5,Limited,drawCard,3,Slash,1-5,,Evasion,1-4,powerDownNext2pwTarget,Slash,1-6,burn1atk,,,
403003,4,TRUE,2,Butterfly Slash,11.125,Limited,,3,Hit,2-7,,Guard,3-5,,Slash,2-6,burn2atk,,,
403004,4,TRUE,2,Eject,10.25,Hardcover,,3,Penetrate,3-5,powerDown1target,Penetrate,3-5,powerDown1target,Guard,2-4,,,,
403005,4,TRUE,2,Sunset Blade,9.25,Paperback,,3,Slash,1-6,burn1atk,Slash,1-5,burn1atk,Hit,2-7,burn1atk,,,
403006,4,TRUE,0,Handle Request,6.25,Paperback,,2,Slash,1-6,burn1atk,Guard,3-4,,,,,,,
403007,4,FALSE,2,Stigmatize,7.375,Hardcover,gainNegative1,2,Penetrate,2-6,burn1atk,Penetrate,2-7,burn1atk,,,,,,
404001,4,TRUE,3,Observe,10.25,Limited,strength3,3,Guard,2-6,,Hit,3-4,paralysis1atk,Hit,3-4,,,,
404002,4,TRUE,1,Opportunity Spotted,7.875,Hardcover,,4,Guard,3-5,,Hit,1-2,powerUp1targetParalysis,Hit,1-2,powerUp1targetParalysis,Slash,1-2,powerUp1targetParalysis
404003,4,TRUE,3,Binding Arms,8.75,Limited,costDown1self,1,Hit,5-15,paralysis1atk,,,,,,,,,
404004,4,TRUE,1,You’re a Hindrance,8.5,Hardcover,,3,Penetrate,1-5,paralysis1atk,Penetrate,2-4,,Evasion,1-7,,,,
404005,4,TRUE,2,Zzzzzap,11.625,Limited,,3,Guard,2-7,paralysis1pw,Guard,1-7,paralysis1pw,Penetrate,3-7,,,,
404006,4,TRUE,2,Electric Shock,8.125,Hardcover,,2,Hit,2-8,paralysis1atk,Penetrate,2-7,paralysis1atk,,,,,,
404007,4,TRUE,2,Structural Analysis,11.125,Paperback,,3,Penetrate,2-6,paralysis1atk,Penetrate,3-5,,Guard,2-7,,,,
404008,4,TRUE,1,Unavoidable Gaze,6.125,Paperback,,2,Evasion,1-7,,Penetrate,1-6,paralysis1atk,,,,,,
405001,4,FALSE,2,Faint Memories,11.25,Limited,tomerry1,3,Evasion,2-8,,Slash,2-6,,Hit,2-6,,,,
405002,4,FALSE,3,Wrath of Torment,12.375,Limited,tomerry2,3,Hit,2-8,,Hit,2-8,,Slash,2-7,,,,
405003,4,FALSE,1,Sharp Pommelin’,9,Paperback,,2,Slash,3-8,lovetownPower,Guard,3-6,,,,,,,
405004,4,FALSE,1,Heavy Pommelin’,9,Paperback,,2,Hit,3-8,lovetownPower,Guard,3-6,,,,,,,
405005,4,FALSE,1,Pointed Pommelin’,9,Paperback,,2,Penetrate,3-8,lovetownPower,Guard,3-6,,,,,,,
405006,4,FALSE,1,Sharp Ram,7.75,Paperback,,3,Slash,1-4,lovetownNextPower,Slash,2-4,,Evasion,1-6,,,,
405007,4,FALSE,1,Heavy Ram,7.75,Paperback,,3,Hit,1-4,lovetownNextPower,Hit,2-4,,Evasion,1-6,,,,
405008,4,FALSE,1,Pointed Ram,7.75,Paperback,,3,Penetrate,1-4,lovetownNextPower,Penetrate,2-4,,Evasion,1-6,,,,
405009,4,FALSE,0,Woulda Square Look Nice?,11.625,Paperback,tomerryReady,3,Guard,2-7,,Slash,2-7,,Hit,2-7,,,,
405010,4,FALSE,0,Triangle Sounds Better!,29.625,Paperback,tomerryTriangle,3,Slash,5-10,,Penetrate,8-13,,Hit,11-16,,,,
405011,4,FALSE,0,Let’s Play!,12.75,Paperback,,4,Evasion,1-7,,Penetrate,2-5,,Evasion,1-7,,Penetrate,2-5,
405012,4,FALSE,0,Love Town Welcomes All,7.5,Paperback,,2,Evasion,5-7,,Hit,1-3,tomerryBuf,,,,,,
405013,4,FALSE,0,Ruckus,9,Paperback,,2,Penetrate,3-7,,Hit,3-7,,,,,,,
405014,4,FALSE,0,Whip of Love,12.5,Paperback,tomerryWhip,1,Slash,8-20,bleeding3atk,,,,,,,,,
405015,4,FALSE,2,Faint Memories,11.25,Limited,tomerry1,3,Evasion,2-8,,Slash,2-6,,Hit,2-6,,,,
405016,4,FALSE,3,Wrath of Torment,12.375,Limited,tomerry2,3,Hit,2-8,,Hit,2-8,,Slash,2-7,,,,
406001,4,TRUE,4,Ink Over,12.75,Limited,,3,Slash,1-6,powerPerHand,Guard,2-8,,Slash,3-10,bleeding3atk,,,
406002,4,TRUE,2,Sharpened Blade,7.875,Hardcover,slashUp2thisRound,3,Slash,1-3,bleeding2atk,Slash,1-3,bleeding2atk,Guard,4-5,,,,
406003,4,TRUE,1,Cumulus Wall,9.75,Limited,,3,Guard,2-7,,Guard,2-4,,Slash,2-5,bleeding1atk,,,
406004,4,TRUE,2,Sky-Clearing Cut,7.75,Hardcover,,2,Hit,1-5,powerUpNext2pl,Slash,3-9,bleeding2atk,,,,,,
406005,4,TRUE,2,Scattering Slash,11,Limited,protection3start,3,Evasion,1-9,,Slash,2-7,,Guard,2-5,,,,
406006,4,TRUE,2,Silent Mist,10.125,Hardcover,protection3,3,Hit,2-7,bleeding1atk,Slash,2-7,,Guard,2-3,,,,
406007,4,TRUE,0,Rules of the Backstreets,4.25,Paperback,,1,Slash,2-8,drawCard1atk,,,,,,,,,
406008,4,TRUE,1,Clean Up,3.875,Hardcover,energy2,1,Slash,2-7,bleeding1atk,,,,,,,,,
406009,4,TRUE,2,Dark Cloud,8.125,Paperback,bleedingSlash1thisRound,2,Hit,2-8,,Slash,2-7,,,,,,,
407001,4,TRUE,3,Heavy Peaks,9.875,Limited,enemy2weak1thisRound,1,Hit,5-18,,,,,,,,,,
407002,4,TRUE,2,Unforgettable Melody,9.625,Limited,ally2strength1thisRound,3,Slash,3-5,,Guard,2-3,,Hit,2-6,,,,
407003,4,TRUE,3,Hard Rehearsal,11.875,Limited,energy2,3,Evasion,1-5,,Hit,3-8,,Slash,3-7,,,,
407004,4,TRUE,2,Shrine to Music,9.375,Hardcover,enemy1weak1thisRound,3,Hit,2-4,,Hit,3-9,,Guard,1-2,,,,
407005,4,TRUE,1,Upbeat Performance,7.625,Paperback,,2,Hit,3-6,,Slash,2-6,,,,,,,
407006,4,TRUE,2,Tendon Chords,7.5,Paperback,,2,Hit,3-5,ally2strength1atk,Slash,3-5,ally2recover3atk,,,,,,
407007,4,TRUE,1,The Red Notes,4.625,Hardcover,ally2strength1thisRound,2,Hit,1-5,,Hit,1-4,,,,,,,
408001,4,TRUE,3,Transpierce,14.375,Limited,,2,Penetrate,6-18,damage5atk,Guard,2-7,,,,,,,
408002,4,TRUE,2,Sparking Spear,9,Hardcover,drawCard,2,Penetrate,3-7,,Penetrate,3-7,,,,,,,
408003,4,TRUE,3,Collision,11,Limited,,2,Penetrate,4-8,energy1pw,Penetrate,4-8,energy1pw,,,,,,
408004,4,TRUE,2,Speared Sweep,8.875,Paperback,,2,Slash,4-7,damage2pw,Penetrate,3-5,,,,,,,
408005,4,TRUE,0,High-speed Stabbing,7.75,Hardcover,,3,Evasion,2-4,,Penetrate,1-5,,Penetrate,1-5,,,,
408006,4,FALSE,2,Regret,10.125,Limited,,3,Guard,2-7,,Slash,2-5,,Hit,2-5,,,,
408007,4,FALSE,0,Blazing Strike,33.75,Paperback,,1,Hit,30-40,burn3atk,,,,,,,,,
408008,4,FALSE,0,Searing Sword,9,Paperback,,2,Slash,3-7,,Penetrate,3-7,,,,,,,
408009,4,FALSE,0,Fierce Charge,6.25,Paperback,,1,Slash,4-10,,,,,,,,,,
408010,4,FALSE,2,Feather Shield,11,Limited,,3,Guard,3-6,,Guard,3-6,,Slash,2-4,,,,
408011,4,FALSE,0,Rueful Eventide,11,Paperback,,3,Evasion,2-5,,Guard,4-6,,Slash,2-5,,,,
408012,4,FALSE,2,Searing Sword,9,Limited,,2,Slash,3-7,burn2atk,Penetrate,3-7,burn2atk,,,,,,
408013,4,FALSE,2,Feather Shield,11,Limited,,3,Guard,3-6,burn2pw,Guard,3-6,burn2pw,Slash,2-4,,,,
501001,5,TRUE,4,Boundary of Death,2.125,Objet d'art,onlypage,1,Penetrate,1-4,Dmg + 45 roll 4,,,,,,,,,
501002,5,TRUE,2,Extreme Edge,7.5,Limited,,1,Penetrate,6-10,disarm1atk,,,,,,,,,
501003,5,TRUE,2,Flashing Strike,11.375,Limited,powerUp2speed7,3,Slash,3-6,,Slash,3-6,,Evasion,2-5,,,,
501004,5,TRUE,1,Flying Sword,7.25,Hardcover,quickness2,2,Slash,2-5,,Slash,3-6,,,,,,,
501005,5,TRUE,2,Endless Battle,12.375,Paperback,powerUp1Hp,3,Guard,4-7,,Hit,2-4,,Slash,3-7,,,,
501006,5,TRUE,1,Desperate Struggle,5.875,Paperback,clashPowerUp,2,Slash,2-5,,Slash,2-4,,,,,,,
501007,5,TRUE,0,To Overcome Crisis,3.5,Hardcover,drawCard,1,Slash,2-6,energy1atkAndHp,,,,,,,,,
502001,5,TRUE,3,Automated Movement,17.75,Limited,quickness2,4,Evasion,2-7,,Hit,3-8,,Hit,4-7,,Evasion,2-7,counter
502002,5,TRUE,2,Marionette,13,Hardcover,,3,Guard,2-7,,Hit,3-8,disarm1atk,Evasion,2-8,,,,
502003,5,TRUE,3,Repressed Flesh,20,Objet d'art,drawCard,4,Guard,4-6,,Hit,3-8,powerDown3targetDfn,Hit,4-9,break3atk,Hit,3-7,counter
502004,5,TRUE,3,Forceful Gesture,13.5,Limited,drawCard,2,Guard,4-8,,Hit,5-13,weakDisarmBinding1atk,,,,,,
502005,5,TRUE,1,Gigigig,7.625,Hardcover,energy2,2,Guard,2-6,,Hit,3-6,,,,,,,
502006,5,TRUE,2,Creak,11.75,Hardcover,,3,Hit,3-7,,Hit,3-6,,Guard,2-5,,,,
502007,5,TRUE,0,Puppet Blockade,5.25,Hardcover,energy1,2,Guard,2-6,,Hit,1-3,,,,,,,
503001,5,FALSE,3,Sharp Nails,22,Hardcover,,4,Guard,4-8,,Hit,4-8,powerDown1target,Penetrate,4-8,recoverBreak5atk,Slash,4-8,counter
503002,5,FALSE,1,Circus Knives,7,Hardcover,,2,Hit,2-6,bleeding2atk,Slash,2-6,,,,,,,
503003,5,FALSE,1,Juggling,5.75,Hardcover,exhaust,1,Hit,5-7,paralysis2atk,,,,,,,,,
503004,5,FALSE,2,Wild Card,8.25,Hardcover,exhaust,2,Penetrate,3-6,recoverHp2atk,Hit,3-6,,,,,,,
503005,5,FALSE,0,Lion’s Claws,9,Hardcover,,3,Slash,2-4,,Slash,3-7,,Slash,1-3,strength1atkMostHp,,,
503006,5,FALSE,0,Unicycle Act,10.25,Hardcover,,4,Penetrate,2-4,,Penetrate,2-3,protection2atkMostHp,Penetrate,2-4,,Penetrate,2-3,
503007,5,FALSE,0,Bulky Charge,9.375,Hardcover,,3,Hit,2-6,,Hit,2-4,break5atk,Hit,2-5,,,,
503008,5,FALSE,0,Let the Show Begin,9.25,Hardcover,,3,Evasion,3-5,,Hit,2-4,strength1atkAllFriend,Hit,2-4,strength1atkAllFriend,,,
503009,5,FALSE,1,Juggling,5.75,Hardcover,exhaust,1,Hit,5-7,paralysis2atk,,,,,,,,,
503010,5,FALSE,1,Wild Card,8.25,Hardcover,exhaust,2,Penetrate,3-6,recoverHp2atk,Hit,3-6,,,,,,,
504001,5,TRUE,2,333… 1973,7.375,Objet d'art,sweeperUnique,2,Penetrate,2-7,,Guard,2-6,,,,,,,
504002,5,TRUE,2,Trash Disposal,12.5,Objet d'art,sweeperOnly,4,Guard,2-7,,Hit,3-7,,Guard,1-3,,Penetrate,2-3,sweeperOnlyDice
504003,5,TRUE,2,Sweep the Backstreets,12.75,Hardcover,,3,Penetrate,4-7,paralysis2atk,Guard,2-6,,Slash,3-6,recoverHp3atk,,,
504004,5,TRUE,2,For the Family,12.875,Limited,ally2protection1thisRound,3,Penetrate,4-7,bleeding1atk,Evasion,1-7,,Hit,3-7,,,,
504005,5,TRUE,1,Extract Fuel,7.25,Paperback,energy2,2,Penetrate,3-6,recoverHp2atk,Guard,2-5,,,,,,,
504006,5,TRUE,1,Night in the Backstreets,11.25,Paperback,powerDown2thisRound,2,Hit,5-7,recoverHp3atk,Penetrate,4-8,recoverHp2atk,,,,,,
1100000,5,FALSE,1,,3.5,Paperback,,1,Guard,2-6,,,,,,,,,,
